Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Team classification
P,Renault–Elf,Bernard Hinault,not awarded,not awarded,not awarded,Renault–Elf
1,Giuseppe Saronni,Patrick Bonnet,Giuseppe Saronni,Faustino Rupérez Rincón,?,Renault–Elf
2,Michael Wilson,Laurent Fignon,Giuseppe Saronni,Faustino Rupérez Rincón,?,Renault–Elf
3,Bernard Hinault,Bernard Hinault,Giuseppe Saronni,Faustino Rupérez Rincón,?,Bianchi
4,Urs Freuler,Bernard Hinault,Giuseppe Saronni,Faustino Rupérez Rincón,?,Bianchi
5,Urs Freuler,Bernard Hinault,Urs Freuler,Faustino Rupérez Rincón,?,Bianchi
6,Silvano Contini,Bernard Hinault,Giuseppe Saronni,Lucien Van Impe,?,Bianchi
7,Francesco Moser,Francesco Moser,Francesco Moser,Lucien Van Impe,?,Bianchi
8,Moreno Argentin,Francesco Moser,Francesco Moser,Lucien Van Impe,?,Bianchi
9,Giuseppe Saronni,Francesco Moser,Giuseppe Saronni,Lucien Van Impe,?,Bianchi
10,Urs Freuler,Francesco Moser,Francesco Moser,Lucien Van Impe,?,Bianchi
11,Bernard Becaas,Francesco Moser,Francesco Moser,Lucien Van Impe,?,Bianchi
12,Bernard Hinault,Bernard Hinault,Francesco Moser,Lucien Van Impe,?,Bianchi
13,Silvano Contini,Bernard Hinault,Francesco Moser,Lucien Van Impe,?,Bianchi
14,Guido Bontempi,Bernard Hinault,Francesco Moser,Lucien Van Impe,?,Bianchi
15,Silvestro Milani,Bernard Hinault,Francesco Moser,Lucien Van Impe,?,Bianchi
16,Vicente Belda,Bernard Hinault,Francesco Moser,Lucien Van Impe,?,Bianchi
17,Silvano Contini,Silvano Contini,Francesco Moser,Lucien Van Impe,Marco Groppo,Bianchi
18,Bernard Hinault,Bernard Hinault,Francesco Moser,Lucien Van Impe,Marco Groppo,Bianchi
19,Robert Dill-Bundi,Bernard Hinault,Francesco Moser,Lucien Van Impe,Marco Groppo,Bianchi
20,Francesco Moser,Bernard Hinault,Francesco Moser,Lucien Van Impe,Marco Groppo,Bianchi
21,Giuseppe Saronni,Bernard Hinault,Francesco Moser,Lucien Van Impe,Marco Groppo,Bianchi
22,Bernard Hinault,Bernard Hinault,Francesco Moser,Lucien Van Impe,Marco Groppo,Bianchi
Final,Final,Bernard Hinault,Francesco Moser,Lucien Van Impe,Marco Groppo,Bianchi
